City,Season,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),NH₃ (µg/m³),Temperature (°C),Humidity (%),Wind Speed (km/h),Traffic Density (veh/hr),Industrial Activity (0-100),Green Cover (%),Population Density (per km²),Waste Management Score (0-10),AQI,Outlier
Faridabad,Summer,93.8,223.4,46.3,15.5,1.98,52.4,16.7,35.7,41.7,22.5,5775,70.1,12.2,9657,3.8,237.6,No
Nashik,Winter,81.2,143.5,34.9,28.4,0.81,27.4,25.8,12.3,67.6,10.1,3341,46.4,22.3,5706,4.8,148.6,No
Mumbai,Summer,77.3,118.1,47.8,6.3,2.26,26.4,16.4,37.3,49.8,23.0,6445,63.5,29.0,20350,7.7,127.1,No
Vadodara,Summer,85.6,107.9,20.7,7.2,2.05,44.6,26.1,35.2,30.3,22.8,5587,70.4,27.3,6912,6.5,159.0,No
Delhi,Winter,185.0,258.4,48.0,23.7,2.89,42.6,30.8,12.3,73.0,6.2,5063,75.5,8.1,13705,5.5,322.9,No
Bengaluru,Summer,52.4,68.7,13.8,14.3,1.26,46.4,15.8,33.9,49.5,13.1,3512,41.5,28.6,8084,6.3,103.3,No
Meerut,Summer,40.9,153.2,48.5,25.8,1.39,29.1,29.6,33.3,32.9,19.4,3764,66.7,6.0,6723,4.7,153.8,No
Lucknow,Summer,117.5,140.8,45.0,14.0,1.12,31.9,14.0,39.9,33.3,21.1,5648,52.1,4.4,8508,5.5,202.7,No
Indore,PostMonsoon,103.2,150.9,45.6,6.6,1.87,34.2,24.3,26.1,58.8,11.7,3740,68.9,18.2,5176,6.2,178.6,No
Surat,PostMonsoon,58.1,72.7,42.7,17.3,1.49,37.9,21.5,20.8,53.7,13.0,5774,65.0,16.3,9240,3.8,123.8,No
Thane,Summer,62.1,67.1,37.6,22.3,0.84,49.9,33.3,44.7,26.0,10.1,5100,47.6,17.3,11435,3.8,112.0,No
Visakhapatnam,Summer,43.9,110.9,31.1,7.5,0.74,68.2,17.4,39.0,34.3,15.8,4440,68.2,21.7,4473,4.9,128.0,No
Thane,Summer,35.2,96.7,40.6,26.8,1.29,59.2,32.2,36.7,21.9,11.1,4653,71.9,19.0,12370,5.2,105.3,No
Jaipur,Winter,119.5,217.6,73.6,20.9,2.62,13.4,10.6,12.0,79.4,10.8,4838,85.1,13.8,7719,7.0,221.0,No
Vadodara,Winter,89.9,184.5,55.0,26.7,2.39,32.9,41.2,14.1,72.6,5.5,4048,52.2,19.1,6750,4.4,191.9,No
Rajkot,Summer,60.4,112.2,45.0,16.7,2.51,52.5,12.6,38.0,31.8,23.0,3350,64.1,15.8,5956,5.1,126.5,No
Kanpur,Winter,174.5,295.9,47.0,22.6,2.27,37.9,30.3,10.1,74.1,8.1,4635,81.5,14.1,9153,5.5,316.4,No
Jaipur,Monsoon,44.9,103.0,19.2,13.0,2.08,42.3,18.4,25.3,91.1,24.2,3874,49.7,12.6,6990,6.6,102.7,No
Amritsar,PostMonsoon,94.1,141.4,48.9,12.4,1.11,35.3,10.5,23.6,57.9,12.3,2173,44.3,7.5,7187,3.6,161.2,No
Hyderabad,Monsoon,450.4,642.1,177.5,211.7,10.34,286.9,191.1,47.8,7.1,0.5,7576,92.3,1.7,8724,0.8,500.0,Yes
Jaipur,Winter,111.7,206.6,74.6,10.7,2.19,13.0,25.7,17.5,62.5,11.2,3546,43.4,22.1,7499,7.3,206.9,No
Mumbai,Summer,56.7,111.3,24.2,16.9,0.48,38.4,10.0,41.0,43.9,12.5,6146,55.9,22.2,17673,6.7,123.6,No
Meerut,Winter,156.3,277.4,63.2,13.7,2.26,17.4,39.1,21.6,66.3,8.1,3517,68.6,11.5,7299,5.7,291.0,No
Ghaziabad,Summer,118.0,176.4,41.5,18.9,2.33,60.9,21.5,44.8,47.4,16.6,4384,70.6,6.5,12778,5.8,218.3,No
Kolkata,PostMonsoon,120.3,154.5,46.1,16.9,2.18,32.0,26.6,28.4,47.7,8.7,6220,75.4,9.2,25235,8.4,211.6,No
Ludhiana,Summer,96.2,134.8,25.7,20.2,2.23,41.7,16.0,39.2,25.8,11.5,4578,75.4,14.7,9108,4.0,160.0,No
Visakhapatnam,PostMonsoon,72.5,115.7,33.2,9.3,1.72,41.8,22.6,21.3,45.1,20.0,3071,33.6,29.4,5629,7.7,118.4,No
Pune,Monsoon,31.3,87.8,14.3,9.3,1.4,25.3,5.1,26.1,90.3,26.6,4877,65.5,24.2,8261,3.8,105.5,No
Kolkata,Summer,79.1,142.4,31.7,12.9,1.91,37.4,13.1,40.1,21.4,17.3,6174,68.0,10.9,25301,6.4,157.1,No
Delhi,Monsoon,60.6,168.8,2.0,3.3,0.59,18.8,1.6,34.2,76.6,32.9,6983,68.5,7.0,10935,8.2,190.8,No
Thane,Monsoon,36.8,78.1,18.3,18.9,1.49,67.3,6.5,29.2,81.3,29.7,5029,51.9,24.9,14723,4.3,87.5,No
Ludhiana,Monsoon,108.6,130.5,37.1,22.0,1.75,33.7,24.0,34.9,74.1,28.8,4392,86.9,7.4,8721,8.1,193.7,No
Ludhiana,Summer,62.4,151.1,33.9,9.9,1.46,34.1,23.8,38.2,46.3,14.1,3188,62.0,5.6,9160,5.0,170.9,No
Vadodara,Winter,94.0,190.8,38.5,36.3,1.89,37.6,36.0,22.0,60.3,6.1,3589,64.7,16.3,7004,7.5,206.6,No
Rajkot,PostMonsoon,63.6,116.1,39.9,30.1,2.19,27.0,16.8,21.1,50.0,13.0,2988,77.3,17.5,6291,7.1,118.4,No
Bhopal,PostMonsoon,79.4,109.8,59.3,14.8,1.34,41.6,32.9,20.8,49.0,14.4,2631,47.9,23.6,5800,7.5,145.8,No
Visakhapatnam,PostMonsoon,71.9,124.8,42.0,16.6,2.03,22.5,22.6,23.3,51.2,12.1,3640,60.0,23.5,7515,6.8,125.6,No
Kanpur,PostMonsoon,383.1,564.6,236.7,237.0,11.14,273.2,136.3,48.1,4.9,0.8,8220,94.9,1.9,8614,1.4,500.0,Yes
Patna,PostMonsoon,148.6,265.4,46.3,14.4,1.15,5.0,23.5,30.8,51.4,9.8,4416,49.1,12.0,9320,3.8,270.2,No
Faridabad,Summer,110.7,189.0,39.0,1.0,0.79,56.5,11.3,44.6,25.2,19.7,5182,84.9,5.1,10289,6.6,216.0,No
Vadodara,Winter,95.2,175.7,34.7,21.1,2.52,35.1,33.3,17.6,56.0,5.7,4279,59.6,18.6,7260,5.0,182.2,No
Amritsar,Winter,136.9,224.0,49.0,22.9,2.74,50.3,30.7,13.7,64.2,10.2,3204,45.2,19.0,6896,7.4,237.7,No
Chennai,Winter,94.1,154.8,37.6,19.8,2.1,42.3,33.7,11.8,78.5,5.5,5241,26.3,29.3,9247,6.2,162.2,No
Kanpur,Winter,189.9,299.2,53.7,27.9,1.21,60.3,23.4,18.2,67.6,10.1,4498,65.7,7.8,6995,7.9,332.5,No
Nagpur,Monsoon,49.8,64.5,30.4,22.0,1.34,24.2,19.3,30.2,86.7,31.3,4074,41.4,15.8,6589,3.9,94.0,No
Nagpur,Winter,90.3,171.2,33.3,33.3,2.03,43.7,19.5,18.6,76.8,5.0,4257,55.1,24.1,6344,4.3,173.2,No
Vadodara,Summer,67.2,136.4,5.7,12.5,1.8,18.8,29.4,36.4,44.2,15.1,4273,63.0,13.4,7571,7.1,148.5,No
Nashik,Winter,80.3,161.2,42.5,22.1,1.9,28.8,14.6,10.4,63.1,8.4,2791,20.4,28.0,5304,5.4,161.0,No
Agra,Winter,118.2,255.8,47.3,25.6,1.73,43.8,15.0,18.7,78.6,11.3,3933,45.2,20.5,9065,4.4,272.1,No
Visakhapatnam,Summer,48.2,75.1,34.0,3.1,1.25,41.0,20.5,41.6,29.6,10.5,3118,18.4,26.3,5801,4.1,83.4,No
Kanpur,PostMonsoon,393.3,590.4,160.8,263.9,13.48,225.2,161.0,47.4,7.0,0.8,8369,95.4,0.6,8179,0.6,500.0,Yes
Thane,Monsoon,55.2,62.0,34.5,11.6,0.32,32.1,29.7,28.0,81.5,20.6,5773,37.4,18.4,15332,5.2,111.1,No
Bhopal,Monsoon,38.6,66.8,31.7,16.0,0.72,30.0,17.9,31.4,89.6,33.7,2996,37.8,24.9,6455,4.5,67.6,No
Thane,Monsoon,24.6,82.7,2.0,10.5,1.56,47.5,17.0,27.4,93.3,17.1,5607,51.8,13.0,14471,7.4,95.2,No
Ahmedabad,Monsoon,47.7,64.1,27.9,5.9,0.86,50.9,20.9,30.5,74.4,22.6,5142,75.1,17.0,8854,8.0,95.9,No
Coimbatore,Winter,71.1,97.7,19.3,24.4,2.18,29.6,37.3,13.4,63.2,4.9,3587,34.8,31.6,5660,8.5,124.3,No
Ludhiana,Winter,142.2,249.1,56.0,24.3,2.26,27.9,18.6,21.1,56.6,8.4,5170,99.0,14.2,7745,7.7,256.2,No
Nagpur,Monsoon,47.3,110.3,22.8,7.4,0.5,32.9,15.0,25.9,77.6,29.9,3153,64.1,15.2,5782,3.6,133.1,No
Ludhiana,Summer,121.5,150.4,20.2,1.0,0.65,28.5,29.7,36.7,35.7,20.1,4287,66.9,6.2,8647,6.4,218.2,No
Meerut,Winter,163.4,268.3,43.6,22.8,1.47,10.5,19.9,18.2,76.8,5.9,4568,59.3,12.0,7015,4.0,273.4,No
Amritsar,Winter,118.7,171.3,39.5,18.5,3.24,50.5,27.2,10.9,61.8,11.8,4273,69.2,16.9,7007,3.7,210.0,No
Varanasi,PostMonsoon,405.2,679.5,208.1,273.2,8.38,215.9,133.9,48.5,7.2,0.7,8599,95.1,3.0,8411,0.8,500.0,Yes
Varanasi,Monsoon,61.9,85.6,34.6,19.2,0.1,34.7,23.3,31.8,92.1,19.1,3382,41.1,16.0,8124,8.2,91.7,No
Visakhapatnam,Winter,81.1,135.3,46.8,19.1,2.59,39.5,36.3,13.2,77.2,5.1,4246,66.2,21.0,7246,5.4,142.8,No
Allahabad,Summer,119.3,172.2,50.8,15.9,2.58,69.7,4.8,32.3,41.7,10.5,4159,63.5,21.3,7983,3.8,215.1,No
Rajkot,Monsoon,45.5,66.7,17.0,12.7,0.61,44.1,19.9,34.5,82.2,29.0,3721,50.3,20.9,5358,5.7,89.4,No
